SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
A≥B	Logical converse implication	Primitive	Dyadic Function		Boolean/Logical	gate because ∵ ⇐ ← ⊂ ⸦ C if converseconditional Bpq reverseimplying cimply	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnUiANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than-or-equal-to/
M>N	Greater Than	Primitive	Dyadic Function		Comparison	gt after follows ≻ larger succeeds	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBXsFEyA9KH1hlxowkb//wMA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than/
A>B	Logical nonimplication	Primitive	Dyadic Function		Boolean/Logical	gate abjunction ⇏ ↛ ⊅ not butnot Lpq nimply	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2A5IgmjD//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than/
≠Y	Nub sieve: mask for major cells to leave the distinct (∪Y)	Primitive	Monadic Function		Sets	unique Boolean indication indicate first occurrences ⍧ items elements masking indicating nub-sieve nubsieve		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/unique-mask/
X≠Y	Not Equal To	Primitive	Dyadic Function		Comparison	ne unequal differentfrom != <> /=	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5QMAGyDq035IJKqDsl5gGhOlhOPVEdJm4OETBX//8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/not-equal-to/
A≠B	Logical XOR	Primitive	Dyadic Function		Boolean/Logical	gate exclusivedisjunction eor exor ⊕ ⊻ ⇎ ↮ ≢ ⊽ + ○ ∨∨ ^ ⩛ Jpq	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnAiANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/not-equal-to/
≡Y	Depth: Maximum level of nesting in Y (negative if uneven)	Primitive	Monadic Function		Array Properties	equalunderbar	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5UMOdC4qgnJiWrIwtoGCoYaWoYK5hoYhc1/f8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/depth/
X≡Y	Match: 1 if X is identical to Y, else 0	Primitive	Dyadic Function		Sets	testif equalunderbar identical? === equivalentto sameas	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk9QV1FOBuEJd4VHnQiA/tUKdCyppCBYyVDD8/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/match/
≢Xm	Number of rows in matrix Xm	Primitive	Monadic Function		Array Properties	count tally table	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJPKoc5ECUBbO7d0C4v7/DwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/tally/
≢Y	Tally: Number of items in leading axis	Primitive	Monadic Function		Array Properties	equalunderbarslash unequalunderbar count length() cells len() major cells rows elements dimension start beginning	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5SUE9U50LimiuYKBghC5gCBYwf9W4xQBbUMFQw0tQwVjDR/P8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/tally/
